time[sec],input,output
0.00001,5,0.002617994
0.05002,5,0.170169602
0.10003,5,0.633554518
0.15005,5,1.306378945
0.20006,5,2.120575041
0.25008,5,3.036872898
0.30009,5,4.016002609
0.3501,1,5.060582341
0.4001,5,6.084217772
0.4501,1,7.102617566
0.50011,5,8.118398841
0.55013,1,9.113237038
0.60014,5,10.10283785
0.65014,1,11.09505823
0.70014,1,12.07680593
0.75014,5,12.99572109
0.80016,5,13.92510891
0.85016,1,14.9225651
0.90017,1,15.91478426
0.95019,5,16.8258463
1.00021,5,17.75523413
1.05024,5,18.75268928
1.10025,1,19.7972704
1.15027,5,20.83399441
1.20029,5,21.8523956
1.25031,5,22.90482791
1.30033,1,24.00700386
1.35034,5,25.07252807
1.40035,1,26.12234204
1.45036,1,27.16168648
1.50039,5,28.1277257
1.55039,1,29.08853033
1.6004,5,30.05456972
1.6504,5,31.01275583
1.70041,1,32.03900821
1.75042,1,33.06264416
1.80043,1,33.99465051
1.85045,5,34.87167845
1.90047,5,35.75394309
1.95049,1,36.72521725
2.00051,5,37.69649542
2.05054,5,38.67038583
2.10055,5,39.70973027
2.15055,5,40.77263823
2.2006,1,41.85910569
2.25062,5,42.92462588
2.30063,5,43.96920718
2.35067,1,45.05305822
2.40069,5,46.12119885
2.4507,1,47.1683964
2.50072,5,48.18941401
2.55072,5,49.21828491
2.60073,1,50.27857243
2.65074,5,51.32315355
2.70075,5,52.35987756
2.75078,1,53.42801819
2.80079,1,54.46997888
2.85081,5,55.44911034
2.90084,1,56.41776807
2.95084,1,57.39427891
3.00085,5,58.30533991
3.05086,1,59.21378466
3.10088,1,60.13793563
3.1509,1,60.99140407
3.2009,5,61.7820391
3.25095,5,62.59884987
3.30095,5,63.53085814
3.35098,1,64.53616534
3.40099,1,65.51791305
3.451,1,66.43683134
3.50101,1,67.28767935
3.55102,5,68.07569394
3.60102,1,68.8925089
3.65105,5,69.74335691
3.70105,5,70.61776844
3.75107,5,71.56809515
3.8011,5,72.58388027
3.85111,5,73.64155136
3.90114,1,74.73063525
3.95117,1,75.79615526
4.00119,5,76.79361774
4.05121,1,77.78321436
4.10122,5,78.76757832
4.15122,1,79.7414771
4.20124,5,80.72060856
4.25128,5,81.70235626
4.30128,5,82.74169651
