time[sec],input,output
1.00E-05,5,0
0.05002,5,3.35036
0.10003,5,9.26584
0.15005,5,13.4538
0.20006,5,16.2807
0.25008,5,18.3223
0.30009,5,19.5787
0.3501,1,20.8874
0.4001,5,20.4686
0.4501,1,20.3639
0.50011,5,20.3116
0.55013,1,19.8928
0.60014,5,19.788
0.65014,1,19.8404
0.70014,1,19.631
0.75014,5,18.3746
0.80016,5,18.584
0.85016,1,19.9451
0.90017,1,19.8404
0.95019,5,18.2176
1.00021,5,18.584
1.05024,5,19.9451
1.10025,1,20.8874
1.15027,5,20.7303
1.20029,5,20.364
1.25031,5,21.0444
1.30033,1,22.0391
1.35034,5,21.3062
1.40035,1,20.992
1.45036,1,20.7827
1.50039,5,19.3169
1.55039,1,19.2122
1.6004,5,19.3169
1.6504,5,19.1599
1.70041,1,20.521
1.75042,1,20.4686
1.80043,1,18.6364
1.85045,5,17.537
1.90047,5,17.6418
1.95049,1,19.4215
2.00051,5,19.4217
2.05054,5,19.4739
2.10055,5,20.7827
2.15055,5,21.2538
2.2006,1,21.725
2.25062,5,21.3062
2.30063,5,20.8875
2.35067,1,21.6727
2.40069,5,21.3586
2.4507,1,20.9397
2.50072,5,20.4163
2.55072,5,20.5733
2.60073,1,21.2015
2.65074,5,20.8875
2.70075,5,20.7303
2.75078,1,21.3585
2.80079,1,20.8351
2.85081,5,19.5788
2.90084,1,19.3692
2.95084,1,19.5264
3.00085,5,18.2176
3.05086,1,18.1652
3.10088,1,18.4794
3.1509,1,17.066
3.2009,5,15.8095
3.25095,5,16.3329
3.30095,5,18.6364
3.35098,1,20.1021
3.40099,1,19.6311
3.451,1,18.3746
3.50101,1,17.0137
3.55102,5,15.757
3.60102,1,16.3331
3.65105,5,17.0135
3.70105,5,17.4848
3.75107,5,19.0027
3.8011,5,20.3116
3.85111,5,21.1492
3.90114,1,21.7774
3.95117,1,21.3062
4.00119,5,19.9452
4.05121,1,19.7879
4.10122,5,19.6834
4.15122,1,19.4741
4.20124,5,19.5788
4.25128,5,19.6309
4.30128,5,20.7827
4.35131,1,21.5155
4.40132,1,20.992
4.45134,5,19.4218
4.50136,5,19.5786
4.55137,1,20.6258
4.60138,5,20.364
4.65139,1,20.3638
4.70142,1,19.8929
4.75144,1,18.4793
4.80144,5,17.2753
4.85148,1,17.4848
4.9015,1,17.9559
4.9515,5,16.5424
5.0015,5,17.223
5.05152,5,18.7409
5.10152,5,20.2071
5.15156,1,21.149
5.20156,1,20.4686
5.25156,1,19.3168
5.30157,5,17.8513
5.35158,1,18.008
5.40158,5,18.27
5.4516,1,18.2176
5.50161,1,18.5318
5.55164,1,17.1705
5.60166,1,15.9667
5.65168,5,14.71
5.7017,5,15.6002
5.75172,1,17.7465
5.80172,1,17.9557
5.85175,1,16.7519
5.90177,1,15.3384
5.95178,1,14.2389
6.0018,5,13.0351
6.05183,1,14.2391
6.10184,1,15.1813
6.15186,1,13.7155
6.20187,1,12.721
6.25189,1,11.3597
6.30189,1,10.5222
6.35189,5,9.73697
6.40192,5,11.3076
6.45194,5,14.9197
6.50196,5,17.3799
6.55197,5,19.317
6.60198,5,20.1545
6.65198,5,21.1492
6.70199,1,21.9342
6.75201,5,21.2015
6.80203,1,21.0969
6.85207,5,20.8352
6.90209,1,20.2067
6.95209,5,20.2593
7.0021,1,20.0497
7.05212,1,19.7882
7.10214,5,18.5314
7.15214,5,18.7935
7.20216,1,20.05
7.25217,1,19.8404
7.30218,5,18.3221
7.3522,5,18.6364
7.40222,5,20.0497
7.45225,1,20.8875
7.50226,5,20.7304
7.55228,5,20.4161
7.60232,5,21.0447
7.65234,1,21.8297
7.70235,5,21.254
7.75238,1,20.9919
7.80241,1,20.7826
7.85243,5,19.16
7.90243,1,19.1075
7.95245,5,19.2646
8.00245,5,19.2122
8.05248,1,20.4686
8.1025,1,20.4164
8.15253,1,18.6361
8.20253,5,17.5371
8.25257,5,17.5896
8.30259,1,19.4739
8.35263,5,19.4218
8.40263,5,19.3693
8.45263,5,20.7301
8.50266,5,21.254
8.55268,1,21.568
8.60268,5,21.3586
8.65269,5,20.8351
8.7027,1,21.7251
8.75271,5,21.2015
8.80271,1,20.8348
8.85274,5,20.364
8.90276,5,20.3118
8.95278,1,21.2015
9.00278,5,20.8872
9.05278,5,20.7304
9.1028,1,21.3583
9.1528,1,20.8875
9.20282,5,19.5786
9.25283,1,19.5789
9.30283,1,19.5786
9.35286,5,18.2175
9.40286,1,18.0607
9.45287,1,18.4268
9.5029,1,17.0138
9.55292,5,15.757
9.60293,5,16.3331
9.65296,5,18.4268
9.70297,1,19.9975
9.75298,1,19.4739
9.80299,1,18.3746
9.853,1,16.8045
9.90301,5,15.6524
9.95303,1,16.2281
10.0031,5,16.8564
10.0531,5,17.3799
10.1031,5,18.951
10.1531,5,20.3112
10.2031,5,20.9922
10.2531,1,21.7251
10.3031,1,21.254
10.3532,5,19.8401
10.4032,1,19.7357
10.4532,5,19.6311
10.5032,1,19.3693
10.5532,5,19.5789
10.6032,5,19.4739
10.6532,5,20.6779
10.7032,1,21.4108
10.7533,1,20.9397
10.8033,5,19.3171
10.8533,5,19.4739
10.9033,1,20.5208
10.9533,5,20.4164
11.0034,1,20.4161
11.0534,1,19.7882
11.1034,1,18.5839
11.1534,5,17.1706
11.2034,1,17.4846
11.2535,1,17.9035
11.3035,5,16.4899
11.3535,5,17.1709
11.4035,5,18.5839
11.4536,5,20.1544
11.5036,1,20.9925
11.5536,1,20.573
11.6036,1,19.2646
11.6536,5,17.956
11.7036,1,18.165
11.7536,5,18.2703
11.8037,1,18.2697
11.8537,1,18.6886
11.9037,1,17.1185
11.9537,1,15.9663
12.0037,5,14.7105
12.0538,5,15.6524
12.1038,1,17.5368
12.1538,1,17.956
12.2038,1,16.4902
12.2538,1,15.2338
12.3038,1,14.0295
12.3538,5,12.9305
12.4038,1,14.0295
12.4539,1,15.1816
12.5039,1,13.5584
12.5539,1,12.5112
12.6039,1,11.3076
12.6539,1,10.2082
12.7039,5,9.57999
12.754,5,11.2551
12.804,5,14.658
12.854,5,17.3796
12.904,5,19.1078
12.9541,5,20.0497
13.0041,5,21.0969
13.0541,1,21.568
13.1041,5,21.0444
13.1541,1,20.8872
13.2041,5,20.5736
13.2541,1,20.259
13.3041,5,19.9978
13.3541,1,19.8926
13.4042,1,19.7879
13.4542,5,18.4274
13.5042,5,18.479
13.5542,1,19.9978
13.6042,1,19.7354
13.6542,5,18.1653
13.7043,5,18.4793
13.7543,5,19.736
13.8043,1,20.8869
13.8543,5,20.6782
13.9044,5,20.1022
13.9544,5,21.2018
14.0044,1,21.7248
14.0544,5,21.1487
14.1044,1,21.0969
14.1544,1,20.8357
14.2044,5,19.055
14.2544,1,19.2119
14.3045,5,19.1075
14.3545,5,19.16
14.4045,1,20.4689
14.4545,1,20.1547
14.5046,1,18.7408
14.5546,5,17.3275
14.6046,5,17.4849
14.6546,1,19.2643
14.7046,5,19.0032
14.7547,5,19.3693
14.8047,5,20.5733
14.8547,5,20.9919
14.9047,1,21.8297
14.9547,5,21.3062
15.0047,5,20.8357
15.0548,1,21.6723
15.1048,5,21.3062
15.1548,1,20.6258
15.2048,5,20.5208
15.2548,5,20.3115
15.3048,1,21.0444
15.3548,5,20.8882
15.4049,5,20.7295
15.4549,1,21.2018
15.5049,1,20.9919
15.5549,5,19.5267
15.6049,1,19.3693
15.6549,1,19.4212
15.7049,5,17.956
15.755,1,18.3228
15.805,1,18.2697
15.855,1,16.8045
15.905,5,15.6524
15.955,5,16.1229
16.0051,5,18.3752
16.0551,1,19.578
16.1051,1,19.736
16.1551,1,18.1134
16.2052,1,16.6989
16.2552,5,15.4431
16.3052,1,16.0716
16.3552,5,16.6471
