time[sec],input,output
1.00021,1.88156,-0.194046,
1.05024,1.93051,1.0238,
1.10025,-1.58899,1.99879,
1.15027,1.51866,1.97604,
1.20029,1.88745,1.65051,
1.25031,1.93121,2.21153,
1.30033,-1.58891,3.15477,
1.35034,1.51867,2.62078,
1.40035,-1.63787,2.2805,
1.45036,-2.01245,2.05565,
1.50039,1.46841,0.737118,
1.55039,-1.64383,0.488372,
1.6004,1.51215,0.551128,
1.6504,1.88668,0.420207,
1.70041,-1.59419,1.60425,
1.75042,-2.00727,1.69858,
1.80043,-2.05629,0.0949994,
1.85045,1.46321,-1.06423,
1.90047,1.88087,-1.10944,
1.95049,-1.59488,0.453701,
2.00051,1.51796,0.639376,
2.05054,1.88737,0.707416,
2.10055,1.9312,1.86897,
2.15055,1.93641,2.42201,
2.2006,-1.58829,2.90292,
2.25062,1.51874,2.59089,
2.30063,1.88746,2.18485,
2.35067,-1.5941,2.82869,
2.40069,1.51806,2.62826,
2.4507,-1.63794,2.23529,
2.50072,1.51285,1.72737,
2.55072,1.88676,1.80546,
2.60073,-1.59418,2.36838,
2.65074,1.51805,2.15845,
2.70075,1.88738,1.99499,
2.75078,-1.59411,2.52924,
2.80079,-2.00726,2.13135,
2.85081,1.46902,0.976922,
2.90084,-1.64376,0.655198,
2.95084,-2.01315,0.755563,
3.00085,1.46833,-0.38601,
3.05086,-1.64384,-0.567663,
3.10088,-2.01316,-0.312306,
3.1509,-2.05699,-1.52767,
3.2009,1.46312,-2.77929,
3.25095,1.88086,-2.46654,
3.30095,1.93043,-0.399278,
3.35098,-1.589,1.13781,
3.40099,-2.00666,0.90511,
3.451,-2.05622,-0.229894,
3.50101,-2.0621,-1.56399,
3.55102,1.46252,-2.82987,
3.60102,-1.64453,-2.47236,
3.65105,1.51207,-1.83028,
3.70105,1.88667,-1.33871,
3.75107,1.93112,0.0573931,
3.8011,1.9364,1.37664,
3.85111,1.93702,2.2714,
3.90114,-1.58822,2.93123,
3.95117,-2.00656,2.59425,
4.00119,1.46911,1.35477,
4.05121,-1.64375,1.06905,
4.10122,1.51216,0.943044,
4.15122,-1.63864,0.743629,
4.20124,1.51277,0.812239,
4.25128,1.88675,0.866298,
4.30128,1.93113,1.88783,
4.35131,-1.58892,2.65489,
4.40132,-2.00665,2.28455,
4.45134,1.4691,0.856733,
4.50136,1.88157,0.825485,
4.55137,-1.5948,1.7447,
4.60138,1.51797,1.62306,
4.65139,-1.63795,1.60845,
4.70142,-2.01246,1.19169,
4.75144,-2.05691,-0.10361,
4.80144,1.46313,-1.31845,
4.85148,-1.64446,-1.27797,
4.9015,-2.01324,-0.857975,
4.9515,1.46832,-2.05389,
5.0015,1.88147,-1.59598,
5.05152,1.9305,-0.20387,
5.10152,1.93632,1.25354,
5.15156,-1.5883,2.25661,
5.20156,-2.00657,1.77599,
5.25156,-2.05621,0.703842,
5.30157,1.46322,-0.714979,
5.35158,-1.64445,-0.745247,
5.40158,1.51208,-0.51793,
5.4516,-1.63865,-0.537136,
5.50161,-2.01255,-0.262502,
5.55164,-2.05692,-1.42966,
5.60166,-2.06218,-2.62912,
5.65168,1.46251,-3.87902,
5.7017,1.88079,-3.24279,
5.75172,-1.59489,-1.27569,
5.80172,-2.00736,-0.857881,
5.85175,-2.0563,-1.86924,
