y_order,u_order,dead_time,,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,b_1,b_2,b_3,b_4,b_5,b_6,b_7,b_8,b_9,b_10,
1,1,1,,-0.920052,0,0,0,0,0,0,0,0,0,0.362253,0,0,0,0,0,0,0,0,0,
1,2,1,,-0.845693,0,0,0,0,0,0,0,0,0,0.337117,0.328761,0,0,0,0,0,0,0,0,
1,3,1,,-0.848929,0,0,0,0,0,0,0,0,0,0.337507,0.32761,-0.00794739,0,0,0,0,0,0,0,
1,4,1,,-0.858624,0,0,0,0,0,0,0,0,0,0.33772,0.324181,-0.0125668,-0.0192056,0,0,0,0,0,0,
1,5,1,,-0.872347,0,0,0,0,0,0,0,0,0,0.337713,0.320522,-0.02215,-0.0235577,-0.0232792,0,0,0,0,0,
1,6,1,,-0.884157,0,0,0,0,0,0,0,0,0,0.337422,0.31583,-0.0292262,-0.0299714,-0.0268158,-0.0197915,0,0,0,0,
1,7,1,,-0.896413,0,0,0,0,0,0,0,0,0,0.336818,0.311803,-0.0372041,-0.0356044,-0.0329698,-0.0219886,-0.0192318,0,0,0,
1,8,1,,-0.877575,0,0,0,0,0,0,0,0,0,0.337268,0.318887,-0.0252208,-0.0250449,-0.0254421,-0.0144066,-0.0163576,0.0295624,0,0,
1,9,1,,-0.852719,0,0,0,0,0,0,0,0,0,0.338697,0.327834,-0.00887498,-0.0120322,-0.013621,-0.00649191,-0.00776366,0.0328943,0.0326893,0,
1,10,1,,-0.863196,0,0,0,0,0,0,0,0,0,0.339398,0.324475,-0.0163333,-0.0170115,-0.0190449,-0.0112589,-0.0112681,0.0307557,0.0302571,-0.0125254,
2,1,1,,-1.33487,0.454255,0,0,0,0,0,0,0,0,0.335765,0,0,0,0,0,0,0,0,0,
2,2,1,,-0.867123,0.0215385,0,0,0,0,0,0,0,0,0.336491,0.321036,0,0,0,0,0,0,0,0,
2,3,1,,-1.08227,0.201081,0,0,0,0,0,0,0,0,0.33071,0.249368,-0.0835056,0,0,0,0,0,0,0,
2,4,1,,-1.07744,0.190524,0,0,0,0,0,0,0,0,0.3313,0.250776,-0.0829992,-0.0146173,0,0,0,0,0,0,
2,5,1,,-1.0624,0.168513,0,0,0,0,0,0,0,0,0.332223,0.256684,-0.0821758,-0.0182021,-0.0170803,0,0,0,0,0,
2,6,1,,-1.05136,0.151665,0,0,0,0,0,0,0,0,0.332354,0.259708,-0.0811347,-0.0228716,-0.0203172,-0.0135694,0,0,0,0,
2,7,1,,-1.0383,0.131486,0,0,0,0,0,0,0,0,0.332464,0.264301,-0.0800982,-0.0279318,-0.0259127,-0.0159116,-0.0142761,0,0,0,
2,8,1,,-1.07641,0.188235,0,0,0,0,0,0,0,0,0.331076,0.252556,-0.0839572,-0.0116987,-0.0136763,-0.00391156,-0.00867573,0.0362678,0,0,
2,9,1,,-1.02968,0.165493,0,0,0,0,0,0,0,0,0.333093,0.268785,-0.0619878,-0.00139204,-0.0042801,0.00207995,-0.00180345,0.0385426,0.029866,0,
2,10,1,,-1.05179,0.173768,0,0,0,0,0,0,0,0,0.333459,0.261367,-0.073807,-0.00742555,-0.0103813,-0.00331149,-0.00569335,0.0358558,0.0269304,-0.0155295,
3,1,1,,-1.49365,0.865987,-0.291511,0,0,0,0,0,0,0,0.334151,0,0,0,0,0,0,0,0,0,
3,2,1,,-0.923212,0.126599,-0.0585302,0,0,0,0,0,0,0,0.336089,0.304349,0,0,0,0,0,0,0,0,
3,3,1,,-1.08724,0.242567,-0.0374839,0,0,0,0,0,0,0,0.331411,0.24884,-0.0715928,0,0,0,0,0,0,0,
3,4,1,,-1.08554,0.233102,-0.0307784,0,0,0,0,0,0,0,0.331446,0.24912,-0.0736399,-0.00303864,0,0,0,0,0,0,
3,5,1,,-1.07194,0.220722,-0.0383223,0,0,0,0,0,0,0,0.332393,0.254789,-0.0704547,-0.00396144,-0.0177567,0,0,0,0,0,
3,6,1,,-1.06318,0.224188,-0.0551927,0,0,0,0,0,0,0,0.332671,0.257575,-0.0639442,-0.00305678,-0.0217088,-0.0154073,0,0,0,0,
3,7,1,,-1.05343,0.236691,-0.083263,0,0,0,0,0,0,0,0.332951,0.262039,-0.0539459,0.000917265,-0.0291929,-0.0191542,-0.0172397,0,0,0,
3,8,1,,-1.08216,0.234846,-0.0383669,0,0,0,0,0,0,0,0.331325,0.251904,-0.0718332,0.00102222,-0.0156267,-0.00579827,-0.0102548,0.0349904,0,0,
3,9,1,,-1.02664,0.147907,0.0140846,0,0,0,0,0,0,0,0.333046,0.269335,-0.0660042,-0.00587312,-0.00338762,0.0028827,-0.00108576,0.0390494,0.0304409,0,
3,10,1,,-1.04816,0.151035,0.0183344,0,0,0,0,0,0,0,0.333387,0.261965,-0.0791916,-0.013342,-0.00927597,-0.0023199,-0.00479295,0.0364693,0.027655,-0.0157115,
4,1,1,,-1.53744,1.01132,-0.527842,0.148823,0,0,0,0,0,0,0.335301,0,0,0,0,0,0,0,0,0,
4,2,1,,-0.896271,0.0731463,0.00152755,-0.0348333,0,0,0,0,0,0,0.336712,0.312489,0,0,0,0,0,0,0,0,
4,3,1,,-1.06713,0.181101,0.044956,-0.0453897,0,0,0,0,0,0,0.330984,0.2552,-0.0783677,0,0,0,0,0,0,0,
4,4,1,,-1.07254,0.211368,0.0266705,-0.0485736,0,0,0,0,0,0,0.330965,0.254246,-0.0715702,0.0109997,0,0,0,0,0,0,
4,5,1,,-1.07081,0.206157,0.0302277,-0.0491323,0,0,0,0,0,0,0.331773,0.25542,-0.0729916,0.0107626,0.000688553,0,0,0,0,0,
4,6,1,,-1.06133,0.206903,0.0265553,-0.0594026,0,0,0,0,0,0,0.331928,0.258478,-0.0666043,0.0148214,0.00031889,-0.0164567,0,0,0,0,
4,7,1,,-1.04896,0.213537,0.0266095,-0.0825521,0,0,0,0,0,0,0.33203,0.264026,-0.0562783,0.0260714,0.000316326,-0.0212658,-0.020043,0,0,0,
4,8,1,,-1.0791,0.22518,0.00515628,-0.0338795,0,0,0,0,0,0,0.331038,0.253115,-0.0720825,0.0113281,-0.00399327,-0.00718612,-0.0116327,0.0337298,0,0,
4,9,1,,-1.02675,0.148464,0.010849,0.00264981,0,0,0,0,0,0,0.333071,0.26929,-0.065977,-0.00669661,-0.00426128,0.00301695,-0.000953503,0.0391603,0.0305264,0,
4,10,1,,-1.04887,0.147287,0.0429685,-0.0196822,0,0,0,0,0,0,0.333159,0.261802,-0.0802357,-0.00774667,-0.00303468,-0.00354394,-0.00592066,0.0354638,0.0269135,-0.0165227,
5,1,1,,-1.56393,1.10601,-0.727395,0.438338,-0.177394,0,0,0,0,0,0.337764,0,0,0,0,0,0,0,0,0,
5,2,1,,-0.935671,0.157839,-0.113929,0.107666,-0.0832011,0,0,0,0,0,0.337294,0.299501,0,0,0,0,0,0,0,0,
5,3,1,,-1.04636,0.21646,-0.0620317,0.0733716,-0.0674355,0,0,0,0,0,0.333224,0.262343,-0.054194,0,0,0,0,0,0,0,
5,4,1,,-1.04614,0.215367,-0.0614471,0.0735927,-0.0674953,0,0,0,0,0,0.333226,0.262385,-0.0544219,-0.000405312,0,0,0,0,0,0,
5,5,1,,-1.04449,0.199498,0.00054884,0.0357957,-0.0714614,0,0,0,0,0,0.333449,0.263518,-0.0578137,0.0121669,0.0209486,0,0,0,0,0,
5,6,1,,-1.04569,0.19634,-0.0306866,0.212416,-0.194328,0,0,0,0,0,0.333989,0.261161,-0.0594835,0.0037089,0.0580812,0.0561583,0,0,0,0,
5,7,1,,-1.02893,0.200366,-0.0324232,0.202904,-0.207212,0,0,0,0,0,0.334438,0.267968,-0.0473699,0.0154131,0.0621279,0.055076,-0.0240365,0,0,0,
5,8,1,,-1.05677,0.212125,-0.0407098,0.197029,-0.174092,0,0,0,0,0,0.333229,0.258445,-0.0616709,0.00509229,0.0486739,0.054346,-0.0165712,0.0274118,0,0,
5,9,1,,-1.01786,0.152072,-0.0288581,0.186435,-0.143001,0,0,0,0,0,0.334409,0.270879,-0.0585046,-0.00846449,0.0390305,0.051954,-0.00694255,0.0331946,0.0254743,0,
5,10,1,,-1.04647,0.150898,0.00870082,0.189495,-0.169444,0,0,0,0,0,0.33458,0.260784,-0.0765006,-0.0102524,0.0492605,0.0523445,-0.0145561,0.0269497,0.0198553,-0.0219973,
6,1,1,,-1.57881,1.14365,-0.792102,0.547587,-0.326607,0.0901534,0,0,0,0,0.336007,0,0,0,0,0,0,0,0,0,
6,2,1,,-0.913256,0.118812,-0.0751419,0.0597122,-0.0268142,-0.0321367,0,0,0,0,0.338375,0.307682,0,0,0,0,0,0,0,0,
