time[sec],experiment,y1-u1estimate,y1-u2estimate,y1-u3estimate,y1-u4estimate,y1-u5estimate,y1-u6estimate,y1-u7estimate,y1-u8estimate,y1-u9estimate,y1-u10estimate,y2-u1estimate,y2-u2estimate,y2-u3estimate,y2-u4estimate,y2-u5estimate,y2-u6estimate,y2-u7estimate,y2-u8estimate,y2-u9estimate,y2-u10estimate,y3-u1estimate,y3-u2estimate,y3-u3estimate,y3-u4estimate,y3-u5estimate,y3-u6estimate,y3-u7estimate,y3-u8estimate,y3-u9estimate,y3-u10estimate,y4-u1estimate,y4-u2estimate,y4-u3estimate,y4-u4estimate,y4-u5estimate,y4-u6estimate,y4-u7estimate,y4-u8estimate,y4-u9estimate,y4-u10estimate,y5-u1estimate,y5-u2estimate,y5-u3estimate,y5-u4estimate,y5-u5estimate,y5-u6estimate,y5-u7estimate,y5-u8estimate,y5-u9estimate,y5-u10estimate,y6-u1estimate,y6-u2estimate,y6-u3estimate,y6-u4estimate,y6-u5estimate,y6-u6estimate,y6-u7estimate,y6-u8estimate,y6-u9estimate,y6-u10estimate,y7-u1estimate,y7-u2estimate,y7-u3estimate,y7-u4estimate,y7-u5estimate,y7-u6estimate,y7-u7estimate,y7-u8estimate,y7-u9estimate,y7-u10estimate,y8-u1estimate,y8-u2estimate,y8-u3estimate,y8-u4estimate,y8-u5estimate,y8-u6estimate,y8-u7estimate,y8-u8estimate,y8-u9estimate,y8-u10estimate,y9-u1estimate,y9-u2estimate,y9-u3estimate,y9-u4estimate,y9-u5estimate,y9-u6estimate,y9-u7estimate,y9-u8estimate,y9-u9estimate,y9-u10estimate,y10-u1estimate,y10-u2estimate,y10-u3estimate,y10-u4estimate,y10-u5estimate,y10-u6estimate,y10-u7estimate,y10-u8estimate,y10-u9estimate,y10-u10estimate,
11.9537,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,-2.63288,
12.0037,-3.87903,-3.16942,-2.9218,-2.93113,-2.95709,-2.99321,-3.0237,-3.05473,-3.00606,-2.94356,-2.97259,-4.20697,-2.97694,-3.53147,-3.51997,-3.48228,-3.45348,-3.41931,-3.51679,-3.39792,-3.45689,-4.62169,-3.12378,-3.54599,-3.54161,-3.50775,-3.48525,-3.46017,-3.53246,-3.38982,-3.44719,-4.73936,-3.05414,-3.49217,-3.50638,-3.5035,-3.47886,-3.44649,-3.52381,-3.39015,-3.44858,-4.81418,-3.15907,-3.44212,-3.44154,-3.43764,-3.44192,-3.39871,-3.46954,-3.36952,-3.4452,-4.84972,-3.10228,-3.38574,-3.39461,-3.39576,-3.36997,-3.41029,-3.49883,-3.41058,-3.47154,-4.85323,-3.08318,-3.42043,-3.42809,-3.4276,-3.3982,-3.47254,-3.49746,-3.40254,-3.46633,-4.87691,-3.11056,-3.36984,-3.34663,-3.34675,-3.33863,-3.38669,-3.38328,-3.40699,-3.45618,-4.91419,-3.14169,-3.50127,-3.47801,-3.48498,-3.48058,-3.49819,-3.48892,-3.48917,-3.48362,-4.91639,-3.1218,-3.47668,-3.4308,-3.43707,-3.40891,-3.42561,-3.42586,-3.42283,-3.42605,
12.0538,-3.19679,-3.03911,-3.4654,-3.47501,-3.50523,-3.55092,-3.58749,-3.62761,-3.56848,-3.48843,-3.52112,-3.49096,-3.4768,-3.6993,-3.71041,-3.72087,-3.72844,-3.7402,-3.71643,-3.62556,-3.67372,-3.02519,-3.38393,-3.60723,-3.62612,-3.61626,-3.57847,-3.51655,-3.61433,-3.66129,-3.72084,-2.81072,-3.43604,-3.70481,-3.64417,-3.65244,-3.61977,-3.5656,-3.63083,-3.66009,-3.73344,-2.66058,-3.33825,-3.54262,-3.54472,-3.5821,-3.58942,-3.52718,-3.58636,-3.61745,-3.71045,-2.62174,-3.36935,-3.56869,-3.52274,-3.54711,-3.53039,-3.53292,-3.60177,-3.64524,-3.72417,-2.61135,-3.38524,-3.6393,-3.59905,-3.60402,-3.59898,-3.6301,-3.60749,-3.66697,-3.73177,-2.58329,-3.35896,-3.55687,-3.65923,-3.65779,-3.64795,-3.67028,-3.67415,-3.65528,-3.7058,-2.5598,-3.34272,-3.59461,-3.71659,-3.73418,-3.72531,-3.7324,-3.74444,-3.72211,-3.71307,-2.55746,-3.36087,-3.60767,-3.80112,-3.8122,-3.83518,-3.83963,-3.8393,-3.81639,-3.81172,
12.1038,-1.45505,-2.25989,-1.58864,-1.58355,-1.60963,-1.6391,-1.66967,-1.69943,-1.65271,-1.59118,-1.61289,-1.87374,-1.58608,-1.52088,-1.54427,-1.5729,-1.60044,-1.63217,-1.54569,-1.50231,-1.52668,-1.55475,-1.53711,-1.49855,-1.5075,-1.5284,-1.54018,-1.548,-1.50979,-1.51473,-1.54315,-1.75105,-1.48713,-1.43318,-1.39666,-1.39582,-1.3807,-1.32825,-1.42117,-1.5215,-1.4936,-1.98921,-1.60644,-1.54651,-1.54797,-1.43194,-1.52925,-1.4788,-1.53074,-1.59421,-1.56867,-2.06441,-1.57005,-1.51406,-1.47896,-1.39631,-1.49265,-1.47953,-1.53365,-1.60377,-1.57903,-2.07812,-1.55436,-1.47741,-1.44714,-1.42287,-1.54602,-1.54521,-1.53724,-1.61878,-1.5866,-2.13736,-1.61267,-1.55065,-1.63432,-1.64136,-1.69046,-1.68512,-1.69088,-1.71791,-1.68505,-2.17461,-1.63008,-1.55691,-1.65606,-1.5906,-1.64092,-1.64207,-1.65094,-1.67472,-1.68267,-2.17368,-1.61298,-1.54208,-1.68895,-1.64002,-1.73047,-1.73025,-1.73004,-1.76423,-1.78671,
12.1538,-0.878901,-1.91648,-1.14986,-1.16898,-1.15702,-1.1889,-1.21157,-1.23607,-1.2003,-1.15251,-1.17584,-1.02566,-1.12572,-1.1125,-1.10664,-1.13688,-1.15805,-1.18314,-1.11617,-1.08269,-1.10779,-1.06868,-1.12926,-1.1172,-1.11524,-1.14858,-1.17773,-1.21809,-1.13449,-1.07538,-1.0985,-1.19452,-1.10536,-1.08143,-1.08636,-1.08885,-1.10748,-1.12683,-1.10019,-1.07771,-1.08079,-0.946122,-0.989979,-0.995282,-0.995024,-0.931491,-0.589768,-0.578622,-0.644779,-0.707965,-0.641488,-0.80798,-1.04426,-1.0456,-1.05524,-0.997363,-0.615978,-0.565995,-0.61697,-0.667268,-0.614402,-0.781756,-1.07002,-1.08522,-1.09309,-1.07418,-0.676351,-0.612396,-0.617772,-0.671843,-0.617656,-0.707935,-0.996896,-1.0118,-0.987979,-0.993375,-0.761903,-0.711545,-0.713325,-0.726718,-0.679199,-0.637673,-0.970586,-0.975391,-0.94612,-0.891422,-0.651449,-0.62966,-0.629855,-0.651873,-0.653933,-0.625913,-0.990032,-0.99374,-0.95604,-0.915408,-0.615531,-0.596249,-0.596228,-0.619801,-0.604575,
12.2038,-2.10238,-1.53581,-1.94433,-1.96107,-2.00133,-1.98392,-2.00163,-2.01532,-1.98851,-1.9584,-1.97378,-1.18626,-1.91825,-1.87725,-1.91222,-1.91078,-1.92887,-1.94821,-1.88636,-1.8713,-1.88607,-1.65538,-1.97437,-1.91924,-1.9189,-1.91876,-1.94323,-1.97383,-1.90028,-1.86593,-1.87922,-1.66292,-1.98583,-1.92556,-1.92665,-1.93144,-1.96008,-2.00235,-1.91469,-1.8646,-1.88882,-1.53532,-1.91306,-1.88517,-1.88509,-1.89904,-1.73233,-1.76831,-1.73439,-1.7251,-1.73144,-1.66603,-1.87893,-1.85552,-1.85432,-1.8641,-1.62836,-1.81111,-1.83433,-1.88805,-1.85958,-1.70109,-1.84321,-1.79366,-1.7929,-1.7978,-1.52032,-1.78493,-1.82716,-1.86421,-1.84983,-1.80943,-1.94756,-1.90454,-1.91113,-1.90977,-1.72867,-1.88791,-1.88017,-1.87851,-1.8683,-1.86897,-1.96574,-1.91948,-1.92775,-1.94182,-1.75536,-1.85314,-1.83713,-1.84293,-1.85788,-1.87778,-1.94501,-1.90071,-1.90581,-1.91668,-1.65922,-1.74695,-1.74749,-1.74828,-1.75109,
12.2538,-3.35487,-2.6792,-3.13112,-3.12374,-3.16644,-3.21487,-3.19482,-3.2136,-3.19302,-3.16229,-3.17459,-3.0976,-3.14045,-3.14604,-3.1775,-3.21203,-3.19715,-3.2114,-3.18537,-3.15812,-3.1735,-3.49039,-3.21688,-3.19394,-3.19203,-3.2314,-3.22333,-3.25393,-3.20591,-3.15007,-3.16319,-3.3252,-3.24881,-3.23193,-3.24168,-3.24043,-3.23363,-3.27245,-3.21514,-3.14915,-3.17041,-3.3557,-3.26752,-3.25229,-3.25195,-3.25146,-3.28532,-3.3332,-3.27695,-3.21104,-3.25095,-3.43661,-3.23609,-3.22381,-3.22932,-3.23163,-3.25967,-3.35284,-3.32126,-3.27901,-3.30192,-3.39777,-3.26879,-3.27021,-3.27439,-3.27346,-3.32206,-3.49552,-3.3462,-3.36765,-3.34188,-3.23318,-3.11309,-3.12182,-3.10336,-3.1036,-3.15301,-3.2716,-3.29494,-3.2228,-3.21784,-3.14985,-3.08698,-3.08388,-3.06095,-3.0561,-3.10606,-3.18495,-3.23703,-3.19665,-3.20975,-3.14432,-3.10755,-3.10316,-3.07551,-3.07162,-3.14405,-3.21363,-3.21145,-3.16115,-3.16853,
12.3038,-4.56489,-3.83366,-4.20839,-4.20173,-4.18775,-4.24385,-4.28439,-4.26611,-4.23998,-4.21542,-4.23214,-4.21569,-4.21783,-4.23523,-4.22304,-4.26098,-4.28642,-4.27321,-4.24387,-4.22073,-4.241,-4.13565,-4.20142,-4.22189,-4.22192,-4.26087,-4.28979,-4.27565,-4.24588,-4.21958,-4.23967,-3.97054,-4.23934,-4.27585,-4.28026,-4.28267,-4.31813,-4.3123,-4.26213,-4.21816,-4.25066,-4.18665,-4.32807,-4.33649,-4.33638,-4.35401,-4.35537,-4.34954,-4.30272,-4.25826,-4.30889,-4.17899,-4.33406,-4.34179,-4.34473,-4.35754,-4.36192,-4.34538,-4.29126,-4.23665,-4.28842,-4.15514,-4.35739,-4.37928,-4.38142,-4.38407,-4.39737,-4.38125,-4.30304,-4.27723,-4.30552,-4.31308,-4.51073,-4.52096,-4.52055,-4.51988,-4.51256,-4.49346,-4.50742,-4.71576,-4.69744,-4.44845,-4.55207,-4.58677,-4.58878,-4.60056,-4.59388,-4.57448,-4.61234,-4.73736,-4.72812,-4.46056,-4.52907,-4.5645,-4.55849,-4.56797,-4.54322,-4.52661,-4.52491,-4.67283,-4.68628,
12.3538,-5.67707,-4.94719,-5.23384,-5.2307,-5.22028,-5.20979,-5.25758,-5.29871,-5.3286,-5.29454,-5.31258,-5.2622,-5.24219,-5.29053,-5.27973,-5.26627,-5.29202,-5.31812,-5.36281,-5.32765,-5.35043,-5.21525,-5.23358,-5.27769,-5.27797,-5.26329,-5.29132,-5.32254,-5.36313,-5.32687,-5.34957,-5.29599,-5.21234,-5.257,-5.25545,-5.25985,-5.28908,-5.32439,-5.36253,-5.3267,-5.35099,-5.52754,-5.32103,-5.33131,-5.33143,-5.34024,-5.37497,-5.42271,-5.43805,-5.39538,-5.43952,-5.43445,-5.35003,-5.35769,-5.35717,-5.36086,-5.41995,-5.42027,-5.43266,-5.38388,-5.428,-5.43696,-5.34637,-5.35356,-5.35302,-5.35426,-5.41828,-5.41873,-5.43072,-5.37522,-5.42297,-5.53872,-5.44463,-5.44579,-5.45095,-5.45063,-5.4783,-5.47547,-5.47314,-5.58055,-5.59945,-5.41986,-5.40638,-5.38593,-5.39024,-5.38948,-5.41616,-5.41988,-5.41475,-5.49493,-5.50622,-5.39028,-5.44356,-5.42156,-5.44282,-5.44094,-5.50474,-5.50697,-5.50738,-5.6123,-5.54946,
12.4038,-4.84047,-4.69343,-4.98622,-4.98526,-4.98389,-4.97882,-4.97017,-5.0246,-4.9566,-4.97505,-4.98717,-5.01352,-4.99454,-5.08475,-5.07857,-5.06455,-5.04923,-5.08011,-5.02076,-5.03008,-5.04956,-5.01575,-4.99589,-5.07178,-5.07295,-5.05689,-5.03603,-5.06682,-5.01675,-5.03173,-5.052,-5.07921,-4.97458,-5.05686,-5.05214,-5.05457,-5.03186,-5.06556,-5.01788,-5.03152,-5.05385,-5.01048,-4.94488,-5.00738,-5.00752,-5.00845,-5.00875,-5.0464,-5.01096,-5.02474,-5.05449,-4.91302,-4.97897,-5.0378,-5.0373,-5.03343,-5.05243,-5.04111,-4.99676,-5.00291,-5.03433,-4.94111,-4.95171,-5.00904,-5.00875,-5.00858,-5.02001,-4.98976,-4.99486,-4.99625,-5.03014,-4.93703,-4.9487,-4.9934,-4.99285,-4.99288,-5.00172,-4.98196,-4.98148,-4.96789,-4.99586,-4.87006,-4.92681,-4.97397,-4.97267,-4.97063,-4.97946,-4.96899,-4.96654,-4.95901,-4.95625,-4.88441,-4.88662,-4.93543,-4.91773,-4.91756,-4.90593,-4.89769,-4.8977,-4.88523,-4.83365,
