time[sec],experiment,estimate
11.9537,-2.63288,-2.63288
12.0037,-3.87903,-3.40891
12.0538,-3.19679,-3.83518
12.1038,-1.45505,-1.73047
12.1538,-0.878901,-0.615531
12.2038,-2.10238,-1.65922
12.2538,-3.35487,-3.14405
12.3038,-4.56489,-4.54322
12.3538,-5.67707,-5.50474
12.4038,-4.84047,-4.90593
12.4539,-3.72581,-3.90967
12.5039,-5.02411,-4.19506
12.5539,-6.1011,-5.79626
12.6039,-7.28968,-6.82521
12.6539,-8.39966,-7.8954
12.7039,-9.08504,-8.67419
12.754,-7.69006,-7.88214
12.804,-4.52544,-5.14608
12.854,-1.75126,-2.47266
12.904,0.101062,-0.0756288
12.9541,1.151,1.32907
13.0041,2.19853,1.90015
13.0541,2.73803,2.76215
13.1041,2.34059,2.25414
13.1541,2.15488,2.12473
13.2041,1.85646,1.86899
13.2541,1.54378,1.58387
13.3041,1.27647,1.22937
13.3541,1.15203,1.02737
13.4042,1.04499,0.973082
13.4542,-0.166759,-0.358892
13.5042,-0.265083,-0.260503
13.5542,1.06181,0.927782
13.6042,0.988014,1.02552
13.6542,-0.404518,-0.35461
13.7043,-0.293034,-0.492912
13.7543,0.827763,0.905306
13.8043,1.97509,1.86001
13.8543,1.92731,1.78259
13.9044,1.414,1.78928
13.9544,2.32219,2.30388
14.0044,2.8909,2.98737
14.0544,2.45066,2.44422
14.1044,2.35276,2.20502
14.1544,2.11094,2.08258
14.2044,0.512859,0.635272
14.2544,0.461495,0.207671
14.3045,0.363388,0.441466
14.3545,0.398015,0.388053
14.4045,1.5557,1.47212
14.4545,1.41616,1.39886
14.5046,0.153497,0.0660199
14.5546,-1.24193,-1.34532
14.6046,-1.2688,-1.20795
14.6546,0.296243,0.130175
14.7046,0.251855,0.364548
14.7547,0.569242,0.350079
14.8047,1.66803,1.69979
14.8547,2.16734,2.48289
14.9047,2.96498,2.91242
14.9547,2.59826,2.49055
15.0047,2.14007,2.3272
15.0548,2.82302,2.97751
15.1048,2.58141,2.4042
15.1548,1.95308,2.29058
15.2048,1.78598,1.60721
15.2548,1.58169,1.57785
15.3048,2.20337,2.44678
15.3548,2.13948,1.89823
15.4049,1.99203,1.91336
15.4549,2.39078,2.86372
15.5049,2.25311,2.03339
15.5549,0.945453,0.710885
15.6049,0.651552,0.650205
15.6549,0.662415,0.70682
15.7049,-0.62762,-0.591693
15.755,-0.457438,-0.730564
15.805,-0.484041,-0.302373
15.855,-1.77852,-1.58617
15.905,-2.94752,-2.9791
15.955,-2.67158,-2.73588
16.0051,-0.653814,-1.03185
16.0551,0.645698,0.72362
16.1051,0.939163,0.723909
16.1551,-0.456057,-0.26911
16.2052,-1.86827,-1.98002
16.2552,-3.14263,-3.09362
16.3052,-2.73994,-2.89695
16.3552,-2.18495,-2.12377
16.4052,-1.79644,-1.70962
16.4552,0.00289805,-0.354884
16.5052,1.09361,1.13947
16.5552,2.00717,2.01124
16.6052,2.80725,2.8157
16.6553,2.44179,2.38788
16.7053,1.1056,0.91452
16.7553,1.08628,0.773301
16.8053,0.713476,1.08028
16.8553,0.716563,0.652188
16.9053,0.578118,0.560723
16.9554,0.60796,0.455558
17.0054,1.62688,1.68028
17.0554,2.30118,2.46492
17.1054,2.10376,2.03904
17.1554,0.78901,0.566612
17.2055,0.448524,0.533524
17.2555,1.65423,1.57517
17.3055,1.42786,1.5157
17.3555,1.3542,1.26962
17.4056,1.25344,1.22885
17.4556,-0.188557,-0.182707
17.5056,-1.55899,-1.61476
17.5556,-1.30643,-1.54677
17.6056,-1.13827,-0.928718
17.6556,-2.17934,-2.12551
17.7057,-1.98023,-2.01038
17.7557,-0.157107,-0.539504
17.8057,0.935904,1.09183
17.8557,1.9428,1.92901
17.9058,1.73849,1.79673
17.9558,0.376738,0.226752
18.0058,-0.846512,-1.14767
18.0558,-0.852955,-0.872728
18.1058,-0.668729,-0.533706
18.1558,-0.417191,-0.499529
18.2058,-0.617544,-0.349809
18.2558,-1.42544,-1.80518
18.3058,-2.95136,-2.6665
18.3559,-4.00963,-4.04893
18.4059,-3.58121,-3.48167
18.4559,-1.22375,-1.91411
18.5059,-1.12845,-0.708221
18.5559,-2.17818,-2.12349
18.6059,-3.54833,-3.25917
18.656,-4.63386,-4.73526
18.706,-5.91625,-5.41504
18.756,-4.96113,-5.26618
18.806,-4.0174,-3.9161
18.856,-4.91972,-4.54658
18.9061,-6.22665,-5.62351
18.9561,-7.39712,-6.96557
19.0061,-8.27448,-7.94117
19.0561,-9.34663,-8.62544
19.1061,-7.95183,-8.10812
19.1561,-4.46476,-5.40907
19.2062,-2.11219,-2.39336
19.2562,-0.0807555,-0.388335
19.3062,1.22135,1.17206
19.3562,1.97667,1.97533
19.4063,2.75736,2.57983
19.4563,2.25088,2.26157
19.5063,1.86759,2.04188
19.5563,1.72956,1.59137
19.6063,1.48298,1.43752
