time[sec],experiment,y_6u_2estimate
11.9537,-2.63288,-2.63288
12.0037,-3.87903,-3.4452
12.0538,-3.19679,-3.71045
12.1038,-1.45505,-1.56867
12.1538,-0.878901,-0.641488
12.2038,-2.10238,-1.73144
12.2538,-3.35487,-3.25095
12.3038,-4.56489,-4.30889
12.3538,-5.67707,-5.43952
12.4038,-4.84047,-5.05449
12.4539,-3.72581,-3.93751
12.5039,-5.02411,-4.23357
12.5539,-6.1011,-5.76017
12.6039,-7.28968,-6.76041
12.6539,-8.39966,-7.85488
12.7039,-9.08504,-8.62333
12.754,-7.69006,-7.88017
12.804,-4.52544,-5.21611
12.854,-1.75126,-2.39284
12.904,0.101062,-0.0309637
12.9541,1.151,1.25526
13.0041,2.19853,1.89226
13.0541,2.73803,2.7975
13.1041,2.34059,2.22623
13.1541,2.15488,2.03577
13.2041,1.85646,1.83196
13.2541,1.54378,1.64779
13.3041,1.27647,1.33623
13.3541,1.15203,1.06639
13.4042,1.04499,1.03897
13.4542,-0.166759,-0.349229
13.5042,-0.265083,-0.257121
13.5542,1.06181,0.907537
13.6042,0.988014,1.01232
13.6542,-0.404518,-0.346852
13.7043,-0.293034,-0.523138
13.7543,0.827763,0.902973
13.8043,1.97509,1.82995
13.8543,1.92731,1.82729
13.9044,1.414,1.74001
13.9544,2.32219,2.25538
14.0044,2.8909,3.04948
14.0544,2.45066,2.47423
14.1044,2.35276,2.18096
14.1544,2.11094,2.06916
14.2044,0.512859,0.603955
14.2544,0.461495,0.26161
14.3045,0.363388,0.43979
14.3545,0.398015,0.368425
14.4045,1.5557,1.50148
14.4545,1.41616,1.38176
14.5046,0.153497,0.0520717
14.5546,-1.24193,-1.34239
14.6046,-1.2688,-1.20761
14.6546,0.296243,0.0696637
14.7046,0.251855,0.355202
14.7547,0.569242,0.358187
14.8047,1.66803,1.67006
14.8547,2.16734,2.49682
14.9047,2.96498,2.94382
14.9547,2.59826,2.50917
15.0047,2.14007,2.27973
15.0548,2.82302,2.95682
15.1048,2.58141,2.4099
15.1548,1.95308,2.31013
15.2048,1.78598,1.63456
15.2548,1.58169,1.60331
15.3048,2.20337,2.44474
15.3548,2.13948,1.90923
15.4049,1.99203,1.95542
15.4549,2.39078,2.80326
15.5049,2.25311,2.05592
15.5549,0.945453,0.719663
15.6049,0.651552,0.623008
15.6549,0.662415,0.719639
15.7049,-0.62762,-0.669833
15.755,-0.457438,-0.724871
15.805,-0.484041,-0.242664
15.855,-1.77852,-1.65485
15.905,-2.94752,-2.98936
15.955,-2.67158,-2.68193
16.0051,-0.653814,-1.0782
16.0551,0.645698,0.719335
16.1051,0.939163,0.72066
16.1551,-0.456057,-0.332019
16.2052,-1.86827,-1.98289
16.2552,-3.14263,-3.07095
